ID,domain,phylum,class,order,family,genus,species
AAAC01000001.1,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_G,g__Bacillus_A,
AE011190.1,,,,,,,
AE011191.1,d__Bacteria,,,,,,
